Country,Geographical,Income Group,Project name_WB,Project name_common,Sector,SubSector,Segment,Crossborder,Reason for delay,Investment Size,Project Banks,Delayed Extent,Updated Date,FC Year,FC Year reason,Status,Affected Stage,Type of PPP,URLs,Resumed,Resume URL,location,Latitude,Longitude
Indonesia,East Asia and Pacific,High income,Jakarta Bandung High-Speed Railway,N/A,Transport,Railways,Regional Passenger,No,travel limit and shipping disruption,,,,April,2017,https://www.thejakartapost.com/news/2017/01/20/wika-to-sign-contract-for-highspeed-railway-next-week.html,delayed,Delay in Construction,Greenfield,https://www.railway-technology.com/news/indonesia-high-speed-railway-project-delayed/,Resumed,https://constructionreviewonline.com/2020/04/construction-of-jakarta-bandung-high-speed-railway-resumes/,City,-6.2088,106.8456
Zimbabwe,Sub-Saharan Africa,Low income,Hwange Thermal Power Station Expansion,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2018,https://www.esi-africa.com/industry-sectors/renewable-energy/zimbabwe-hwange-thermal-power-station-to-reach-financial-close/,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,Resumed,https://www.afrik21.africa/en/zimbabwe-solgas-energy-to-commission-its-solar-power-plant-in-hwange-in-august/,Exact Location,-18.382413,26.470805
Zimbabwe,Sub-Saharan Africa,Low income,Robert Mugabe International Airport expansion,N/A,Transport,Airports,Runway and terminal,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,Resumed,https://www.herald.co.zw/us153m-airport-expansion-on-course/,Exact Location,-17.918631,31.097258
Zimbabwe,Sub-Saharan Africa,Low income,NetOne expansion,N/A,ICT,ICT backbone,Other,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,N/A,N/A,City,-19.0154,29.1549
Pakistan,South Asia,Low income,Thar Block 2 power plant,Thar Engro Coal Power Project,Energy,Electricity,Electricity generation,Yes,travel limit and shipping disruption,,,,April,2019,https://mettisglobal.news/ppib-allows-extensions-in-financial-close-dates-of-2-thar-coal-power-projects,delayed,N/A,Greenfield,https://www.eco-business.com/news/the-shadow-of-the-coronavirus-on-pakistan/,N/A,N/A,Exact Location,24.775287,70.397565
Kenya,Sub-Saharan Africa,Upper middle income,Kisii-Ahero-Isebania road project,N/A,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.the-star.co.ke/business/kenya/2020-04-16-multi--billion-road-projects-take-a-hit-as-workers-stay-home/,N/A,N/A,City,-0.1744,34.9203
Kenya,Sub-Saharan Africa,Upper middle income,Sh160 billion 87km Nairobi-Mau Summit road,Nairobi-Makuru-Mau Summit Highway,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,expected 2021,https://www.khl.com/international-construction/billion-dollar-ppp-kenyan-highway-for-vinci/146328.article,delayed,N/A,Brownfield,https://www.the-star.co.ke/business/kenya/2020-04-16-multi--billion-road-projects-take-a-hit-as-workers-stay-home/,N/A,N/A,City,-1.0314,36.8681
Kenya,Sub-Saharan Africa,Upper middle income,Sh62 billion JKIA-Westlands Expressway,JKIA-Westlands Highway,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.msn.com/en-xl/news/other/multi-billion-road-projects-take-a-hit-as-workers-stay-home/ar-BB12HJaK,N/A,N/A,Exact Location,-1.322828,36.925994
Indonesia,East Asia and Pacific,High income,Bangko Tengah PLTU (SS-8),Bangko Tengah (SS-8) Power Station / South Sumatra 8,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2014,https://www.gem.wiki/Bangko_Tengah_(SS-8)_power_station,delayed,Delay in Construction,Greenfield,https://industri.kontan.co.id/news/jadwal-operasional-pembangkit-terganggu-wabah-corona-ini-tanggapan-pln?page=all,N/A,N/A,Exact Location,-3.758138,103.792385
Indonesia,East Asia and Pacific,High income,Kalbar-1 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2017,https://pontianak.tribunnews.com/2018/08/01/proyek-pltu-kalbar-1-baru-35-persen,delayed,Delay in Construction,Greenfield,https://ekonomi.bisnis.com/read/20200803/44/1274372/vid-covid-tujuh-proyek-pembangkit-listrik-berkapasitas-6.510-mw-bakal-molor-nih,N/A,N/A,Exact Location,0.816593,108.845997
